Name,Category,Location,ContactInformation,Email,Website
"Academic ONe","Academic","should be first in line","just testing","hi@c.com","https://spam.com"
"Academic Two","Academic","here","just testing","im@gettingLazier.com","https://www.carl.edu"
"CSE-IT2 Specialist","Academic","Kenneth H. Keller Hall, 200 Union St SE, Minneapolis, MN 55455","CSE-IT HELP","cseit@umn.edu","https://cse.umn.edu/cseit"
"Analogical Database","Industry","one more","hi","im@gettingLazier.com","https://spam.com"
"before testguy","Industry","1","2","ad@gm.com","https://here.com"
"Before testguy capital letters come lexogrphically before lowercase","Industry","over","there","he@ha.com","https://bing.com"
"Databse holder","Industry","database","idustry","a@b.c","https://s.c"
"Testguy","Industry","here","now","tg@gmail.com","https://google.com"
"Adam","Personal","the sql database","Alphabetically first but added third","justTesting@ha.com","https://nowhere.org"
"Bob","Personal","Lame Duck RD","cool guy","bob@bob.com","https://www.bob.net"
"Carl","Personal","here","another G","carl@carl.com","https://www.carl.edu"
"just testing hw7","Personal","added one","more contact","totest@functionality.ofChanges","https://Ilike4131.com"
